Order ID,SalesID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Quantity,Discount,Cost,Sales,Profit,Customer Age,Customer Gender,Day,Month,Year,Quarter
T7M4A5001T,37R0LL0S,08-11-2017,11-11-2017,Second Class,0V6S00,Consumer,United States,Henderson,Kentucky,South,405-8078784-5731545,Furniture,Bookcases,7,34%,175.89,261.96,86.07,41,Male,Wednesday,11,2017,4
7ED6GE31KE,44W7JSAI,08-11-2017,11-11-2017,Second Class,U2EVIU,Consumer,United States,Henderson,Kentucky,South,171-9198151-1101146,Furniture,Chairs,1,46%,185.12,731.94,546.82,67,Male,Wednesday,11,2017,4
FBJSAN3KKS,WO7152K7,12-06-2017,16-06-2017,Second Class,A0GH25,Corporate,United States,Los Angeles,California,West,404-0687676-7273146,Office Supplies,Labels,18,5%,211.72,14.62,-197.1,44,Female,Monday,6,2017,2
NQEXLZKV7O,QLRZLFGX,11-10-2016,18-10-2016,Standard Class,W7TO7M,Consumer,United States,Fort Lauderdale,Florida,South,403-9615377-8133951,Furniture,Tables,6,24%,230.94,957.5775,726.6375,29,Female,Tuesday,10,2016,3
12920XTNLF,L1W9XZTH,11-10-2016,18-10-2016,Standard Class,8NROOJ,Consumer,United States,Fort Lauderdale,Florida,South,407-1069790-7240320,Office Supplies,Storage,15,39%,91.69,22.368,-69.322,20,Female,Tuesday,10,2016,3
ZNIUHTXTTX,Y8P6RT2C,09-06-2015,14-06-2015,Standard Class,XZW8FK,Consumer,United States,Los Angeles,California,West,404-1490984-4578765,Furniture,Furnishings,9,32%,341.37,48.86,-292.51,39,Female,Tuesday,6,2015,2
OGL8MF2BIF,EJGQ1I5A,09-06-2015,14-06-2015,Standard Class,OGGDW3,Consumer,United States,Los Angeles,California,West,408-5748499-6859555,Office Supplies,Art,3,6%,421.7,7.28,-414.42,30,Female,Tuesday,6,2015,2
WGW2KY1V9F,V7RLZ5P3,09-06-2015,14-06-2015,Standard Class,8GK4V1,Consumer,United States,Los Angeles,California,West,406-7807733-3785945,Technology,Phones,18,43%,369.8,907.152,537.352,34,Female,Tuesday,6,2015,2
HEYBLPZKQN,EIXU7UJM,09-06-2015,14-06-2015,Standard Class,KYBL1K,Consumer,United States,Los Angeles,California,West,407-5443024-5233168,Office Supplies,Binders,16,31%,215.6,18.504,-197.096,20,Male,Tuesday,6,2015,2
7PUJ44INC2,O2TW81AO,09-06-2015,14-06-2015,Standard Class,19XM1F,Consumer,United States,Los Angeles,California,West,402-4393761-0311520,Office Supplies,Appliances,17,48%,91.41,114.9,23.49,45,Male,Tuesday,6,2015,2
